station,start_from,end_in,trip_duration_start_from,trip_duration_end_in,month
Harborside,1566,1557,729.5,698.0,Aug
Newark Ave,889,924,589.0,541.0,Aug
Marin Light Rail,1894,1928,799.5,779.0,Aug
Columbus Dr at Exchange Pl,1695,1688,891.0,919.5,Aug
Lincoln Park,753,832,1416.0,1414.0,Aug
JC Medical Center,1657,1723,1062.0,1232.0,Aug
Hilltop,460,346,775.5,836.0,Aug
Jersey & 6th St,593,611,384.0,397.0,Aug
Jackson Square,177,203,1204.0,1087.0,Aug
Riverview Park,280,249,1092.5,1379.0,Aug
Hoboken Ave at Monmouth St,567,579,1081.0,1116.0,Aug
Sip Ave,1624,1435,511.5,433.0,Aug
Essex Light Rail,498,522,677.0,687.0,Aug
Newport PATH,1660,1690,843.0,838.5,Aug
Monmouth and 6th,480,478,502.5,472.0,Aug
Pershing Field,496,488,1005.0,1180.5,Aug
McGinley Square,636,462,392.5,381.0,Aug
Warren St,1216,1227,629.5,699.0,Aug
Brunswick St,650,637,581.0,564.0,Aug
Fairmount Ave,326,260,601.0,536.0,Aug
Bergen Ave,474,429,464.5,429.0,Aug
Baldwin at Montgomery,668,625,676.5,763.0,Aug
Hamilton Park,1749,1804,634.0,594.0,Aug
Newport Pkwy,3050,3052,1168.5,1212.0,Aug
Glenwood Ave,249,243,865.0,972.0,Aug
Leonard Gordon Park,173,155,938.0,1138.0,Aug
Union St,211,239,1024.0,1108.0,Aug
Dey St,230,228,1025.0,932.5,Aug
Morris Canal,1332,1330,1062.5,1009.0,Aug
Montgomery St,477,494,624.0,669.0,Aug
Liberty Light Rail,2397,2426,2003.0,1989.0,Aug
Manila & 1st,566,578,479.0,512.0,Aug
Brunswick & 6th,530,558,548.0,496.0,Aug
Jersey & 3rd,730,731,398.0,452.0,Aug
York St,447,440,711.0,652.0,Aug
Dixon Mills,582,582,439.5,436.0,Aug
Van Vorst Park,966,972,659.0,719.5,Aug
5 Corners Library,223,207,865.0,952.0,Aug
Lafayette Park,489,550,874.0,838.5,Aug
Oakland Ave,309,200,719.0,826.5,Aug
Astor Place,439,434,567.0,713.0,Aug
Grand St,558,591,617.0,640.0,Aug
Communipaw & Berry Lane,345,385,1284.0,1092.0,Aug
Journal Square,366,255,674.5,596.0,Aug
Christ Hospital,197,158,682.0,871.0,Aug
Grove St PATH,3664,4009,360.5,383.0,Sep
Journal Square,434,364,626.0,589.5,Sep
Union St,236,243,1246.0,1272.0,Sep
Hamilton Park,2143,2260,561.0,565.0,Sep
McGinley Square,936,664,420.0,386.5,Sep
Baldwin at Montgomery,806,758,614.0,689.0,Sep
Christ Hospital,218,185,626.0,723.0,Sep
Newport Pkwy,3371,3396,974.0,1065.0,Sep
Jersey & 3rd,880,905,314.5,381.0,Sep
Astor Place,529,525,535.0,556.0,Sep
Dixon Mills,725,711,391.0,382.0,Sep
Essex Light Rail,740,740,638.5,654.5,Sep
Marin Light Rail,2276,2275,621.0,667.0,Sep
Warren St,1592,1596,480.5,486.0,Sep
Fairmount Ave,554,428,532.5,428.5,Sep
Lincoln Park,1045,1060,1402.0,1494.0,Sep
Lafayette Park,631,675,695.0,737.0,Sep
Columbus Drive,1085,1099,585.0,501.0,Sep
Monmouth and 6th,732,743,404.0,432.0,Sep
JC Medical Center,1853,1896,877.0,1012.0,Sep
Washington St,1557,1584,877.0,848.5,Sep
Jersey & 6th St,851,865,369.0,420.0,Sep
Morris Canal,1521,1528,748.0,769.5,Sep
Newport PATH,2295,2349,623.0,651.0,Sep
Liberty Light Rail,2701,2710,1547.0,1700.5,Sep
Sip Ave,1971,1836,476.0,431.0,Sep
Van Vorst Park,1205,1222,584.0,586.0,Sep
Glenwood Ave,342,309,763.5,917.0,Sep
Brunswick St,864,870,516.0,480.5,Sep
Brunswick & 6th,766,767,496.0,485.0,Sep
City Hall,1540,1668,582.0,543.5,Sep
Pershing Field,502,458,888.5,1111.5,Sep
Columbus Dr at Exchange Pl,2001,2073,691.0,671.0,Sep
Communipaw & Berry Lane,410,443,843.5,840.0,Sep
Hilltop,621,432,697.0,796.5,Sep
Harborside,1943,1942,614.0,567.0,Sep
Paulus Hook,1110,1164,728.0,707.0,Sep
Bergen Ave,493,400,486.0,424.0,Sep
Grand St,858,869,547.0,587.0,Sep
Heights Elevator,523,512,1135.0,1273.0,Sep
York St,555,572,554.0,584.0,Sep
Newark Ave,1175,1250,452.0,502.0,Sep
Montgomery St,670,672,638.0,590.0,Sep
Hoboken Ave at Monmouth St,620,628,933.5,935.0,Sep
Manila & 1st,656,733,438.5,445.0,Sep
Dey St,278,283,784.5,599.0,Sep
Oakland Ave,366,245,641.5,876.0,Sep
Jackson Square,199,193,976.0,1029.0,Sep
5 Corners Library,324,290,792.0,834.0,Sep
Riverview Park,310,274,998.5,1114.5,Sep
Leonard Gordon Park,156,126,896.5,1130.5,Sep
